, 4th of(event, time)
help prevent(effect, risk)
help prevent(factor, complication)
help prevent(factor, disease)
help prevent(factor, effect)
help prevent(factor, risk)
help prevent(mineral, disease)
help prevent(nutrient, disease)
help prevent(product, disease)
help protect(factor, organ)
help protect against(factor, disease)
help reduce(vitamin, factor)
help with(mineral, process)
help with(nutrient, process)
help with(vitamin, process)
hit(city, state)
hit(disease, city)
hit(disease, country)
hit(disease, place)
hit(disease, state)
hit(engine, country)
hit(event, area)
hit(event, city)
hit(event, country)
hit(event, destination)
hit(event, place)
hit(event, state)
hit(event, town)
hit(game, country)
hit(game, place)
hit(game, system)
hit(illness, country)
hit(infection, country)
hit(infection, state)
hit(system, country)
hit(system, place)
hit(time, city)
hold(agency, event)
hold(area, game)
hold(city, event)
hold(country, country)
hold(country, event)
hold(country, institution)
hold(game, state)
hold(member, event)
hold(organization, activity)
hold(organization, event)
hold(place, event)
hold(place, game)
hold(state, game)
hold(state, state)
hold in(activity, city)
hold in(event, city)
hold in(event, country)
hold in(event, place)
hold in(event, state)
hold in(event, time)
hold in(state, time)
hold off(city, city)
hope(city, country)
hope(company, company)
hope(company, technology)
hope(country, country)
hope(country, place)
hope(country, state)
hope(man, country)
hope(metal, country)
hope(system, company)
hope(system, country)
host(area, event)
host(city, country)
host(city, event)
host(city, game)
host(city, place)
host(city, sport)
host(country, event)
host(place, country)
host(place, event)
host(state, university)
host by(facility, service)
host by(site, service)
id(city, site)
id(country, city)
id(tool, city)
id(tool, place)
identify(center, country)
identify(man, country)
immigrate to(member, country)
import(country, crop)
import(country, food)
import from(source, country)
improve(drug, effect)
improve(drug, factor)
improve during(disease, time)
include(browser, browser)
include(cause, disease)
include(cause, risk)
include(disease, disease)
include(disease, risk)
include(disorder, disorder)
include(infection, disease)
include(procedure, procedure)
include(region, country)
include(region, state)
include(solution, application)
include(treatment, drug)
include parts of(country, area)
increase(drug, disease)
increase(drug, effect)
increase(drug, factor)
increase(drug, risk)
increase(factor, disease)
increase(factor, effect)
increase(factor, factor)
increase(factor, hormone)
increase(factor, risk)
increase(hormone, factor)
increase(hormone, process)
increase(substance, factor)
increase(vitamin, factor)
increase with(disease, factor)
increase with(factor, factor)
increase with(protein, factor)
induce(agent, disease)
induce(agent, process)
induce(chemical, effect)
induce(disease, disease)
induce(drug, complication)
induce(drug, disease)
induce(drug, disorder)
induce(drug, effect)
induce(drug, process)
induce(factor, factor)
induce(factor, process)
induce(hormone, effect)
induce(hormone, factor)
induce(hormone, process)
induce(inhibitor, process)
induce(medication, disease)
induce(member, process)
induce(product, process)
induce(protein, disease)
induce(protein, process)
induce(substance, effect)
induce(substance, process)
induce(time, disease)
induce(time, disorder)
induce(time, factor)
induce(treatment, effect)
infect(disease, animal)
infect with(animal, disease)
infect with(site, disease)
influence(acid, process)
influence(factor, factor)
influence(mineral, process)
influence(nutrient, process)
inform(city, city)
inform(country, agency)
inform(country, organization)
inform(member, body)
inform(state, country)
inhibit(acid, process)
inhibit(agent, process)
inhibit(drug, drug)
inhibit(drug, factor)
inhibit(drug, process)
inhibit(drug, protein)
inhibit(effect, protein)
inhibit(factor, process)
inhibit(hormone, hormone)
inhibit(hormone, process)
inhibit(inhibitor, process)
inhibit(medication, factor)
inhibit(protein, process)
inhibit(substance, process)
insist(country, city)
insist(country, technology)
inspect(provider, food)
install(system, system)
install(tool, browser)
install(tool, system)
install(tool, tool)
integrate into(browser, browser)
integrate with(tool, browser)
interfere with(drug, process)
intervene in(country, country)
intervene in(country, place)
introduce(company, application)
introduce(company, company)
introduce(company, device)
introduce(company, leader)
introduce(company, platform)
introduce(company, product)
introduce(company, provider)
introduce(company, service)
introduce(company, system)
introduce(company, technology)
introduce(company, time)
introduce(company, tool)
introduce(engine, application)
introduce(engine, service)
introduce(food, system)
introduce(fruit, application)
introduce(fruit, device)
introduce(fruit, platform)
introduce(fruit, player)
introduce(fruit, product)
introduce(fruit, solution)
introduce(fruit, system)
introduce(manufacturer, device)
introduce in(village, time)
invade(area, country)
invade(band, country)
invade(bird, country)
invade(book, country)
invade(city, country)
invade(country, area)
invade(country, art)
invade(country, book)
invade(country, city)
invade(country, country)
invade(country, destination)
invade(country, island)
invade(country, member)
invade(country, place)
invade(country, region)
invade(country, service)
invade(country, state)
invade(destination, country)
invade(film, country)
invade(food, country)
invade(game, country)
invade(leader, country)
invade(leader, place)
invade(leader, state)
invade(man, country)
invade(man, place)
invade(man, state)
invade(member, country)
invade(organization, country)
invade(partner, country)
invade(piece, country)
invade(place, country)
invade(place, place)
invade(place, state)
invade(state, country)
invade(state, place)
invade(state, state)
invade(system, country)
invade(time, country)
invade(tool, country)
invade(town, country)
invade(use, country)
invade(writer, country)
invent(country, activity)
invent(country, game)
invent(country, sport)
invent(provider, browser)
invent in(substance, country)
invest in(company, company)
invest in(company, country)
investigate(magazine, country)
invite(country, organization)
invite(organization, country)
invoke(body, process)
involve(disease, effect)
involve(disorder, disorder)
involve(disorder, effect)
involve(process, process)
ipod(fruit, device)
ipod(fruit, player)
isolate from(disease, animal)
issue(company, card)
issue(country, event)
issue(organization, activity)
issue(organization, area)
issue(organization, service)
join in(country, time)
join with(country, country)
join with(organization, organization)
jump into(organ, infection)
keep(city, study)
keep march beyond(engine, place)
kill(animal, animal)
kill(company, browser)
kill(disease, animal)
kill(metal, material)
kill(treatment, material)
knock off(state, state)
know(company, drug)
know(sport, sport)
know about(factor, country)
know about(factor, game)
know about(factor, sport)
label(leader, country)
label(man, country)
lack(service, material)
lack(source, company)
lack(source, effect)
lack(source, material)
lack(source, organization)
launch(company, application)
launch(company, company)
launch(company, device)
launch(company, equipment)
launch(company, platform)
launch(company, product)
launch(company, service)
launch(company, site)
launch(company, solution)
launch(company, system)
launch(company, technology)
launch(company, tool)
launch(country, application)
launch(country, event)
launch(country, material)
launch(country, time)
launch(engine, application)
launch(engine, engine)
launch(engine, service)
launch(engine, site)
launch(engine, system)
launch(engine, tool)
launch(fruit, player)
launch(fruit, product)
launch(fruit, service)
launch(fruit, solution)
launch(leader, system)
launch(manufacturer, device)
launch(service, service)
launch in(village, city)
launch in(village, country)
lay(animal, food)
lay(animal, product)
lay(animal, source)
lay(bird, food)
lay(book, product)
lay(dish, food)
lay(fish, food)
lay(food, food)
lay(food, product)
lay(game, food)
lay(ingredient, food)
lay(product, food)
lay(protein, food)
lay(source, food)
layer with(food, vegetable)
lead(city, country)
lead(country, area)
lead(state, state)
lead in(man, state)
lead to(area, area)
lead to(area, place)
lead to(cause, complication)
lead to(cause, disease)
lead to(cause, disorder)
lead to(cause, effect)
lead to(cause, factor)
lead to(complication, complication)
lead to(complication, disease)
lead to(disease, complication)
lead to(disease, disease)
lead to(disease, disorder)
lead to(disease, effect)
lead to(disease, factor)
lead to(disease, illness)
lead to(disease, risk)
lead to(disorder, complication)
lead to(disorder, disease)
lead to(disorder, disorder)
lead to(disorder, effect)
lead to(disorder, factor)
lead to(disorder, risk)
lead to(drug, drug)
lead to(effect, effect)
lead to(facility, area)
lead to(facility, place)
lead to(factor, cause)
lead to(factor, complication)
